,Tanggal Tweet,Tweet Text,Jumlah Retweet,Jumlah Likes,Username,Language,Clean_text,Clean_text_length,sentiment,sentiment_analyser,compound_score,compound_score_sentiment
10,2022-05-31 11:14:09+00:00,"Under Communism, Entertainment Weekly will become Ent Weekly and will feature articles about the migration patterns of walking trees, as well as real environmentalist news. And how to contact organizations in charge of reforestation.",1,2,ThePopularFront,en,under commun entertain weekli will becom weekli will featur articl about migrat pattern walk tree well real environmentalist news contact organ charg reforest,158,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)","{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.5267}",0.5267,Positive
11,2022-05-31 11:13:03+00:00,These #Drones are helping fight #ClimateChange through reforestation.  (Mashable) #Environment https://t.co/3UhlnGR3rm,8,6,jamesvgingerich,en,these #drone help fight #climatechang through reforest mashabl #environ http uhlngr,83,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.182, 'neu': 0.629, 'pos': 0.189, 'compound': 0.0258}",0.0258,Neutral
12,2022-05-31 11:06:38+00:00,"Second planting season done ✅ 
6000 pine seedlings behind, looking forward for brighter future 🖐
#NFTCommunity #tree #reforestation https://t.co/v2XSq7kAax",1,4,digital__luu,en,second plant season done pine seedl behind look forward brighter futur #nftcommun #tree #reforest http kaax,107,"Sentiment(polarity=-0.2, subjectivity=0.35)","{'neg': 0.0, 'neu': 0.852, 'pos': 0.148, 'compound': 0.3818}",0.3818,Positive
13,2022-05-31 11:04:56+00:00,"We’re excited to announce that, as part of our commitment to sustainability, we’ve partnered with @onetreeplanted. 💚🌳

When you buy one of our courses, a tree will be planted through #onetreeplanted's reforestation project. Find out more: https://t.co/gToG7sSWiR https://t.co/65dY5qyCXp",1,0,OrangeLearn,en,excit announc that part commit sustain partner with when cours tree will plant through #onetreepl reforest project find more http gtog sswir http qycxp,151,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.296}",0.296,Positive
14,2022-05-31 10:43:34+00:00,"#Reforestation+a sustainable income for farmers. This time @rodhialfalah and I had a look at a project in Borneo that aims to mitigate the impact of gold mining, #palmoil plantations&amp; fires by planting new trees. 
And working together with the locals.
https://t.co/d774kqlzvE",3,5,NicoleRis,en,#reforest sustain incom farmer thi time look project borneo that aim mitig impact gold mine #palmoil plantat fire plant tree work togeth with local http kqlzve,159,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.088, 'neu': 0.912, 'pos': 0.0, 'compound': -0.34}",-0.34,Negative
15,2022-05-31 10:36:03+00:00,"Make your money work for the planet: help us plant 50,000 trees in just 60 seconds  https://t.co/7yc1V5TYej #TreePlanting #Reforestation #App #Tech #Shopping #Data #Forests #FreeTrees #getmyslice @getmysliceapp",0,0,mygreenpod,en,make your money work planet help plant tree just second http tyej #treeplant #reforest #app #tech #shop #data #forest #freetre #getmyslic,137,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.4019}",0.4019,Positive
16,2022-05-31 10:16:32+00:00,"Climate-fueled #wildfire = huge threat to public water supplies🚰.  So what do we do? ⁦⁦@CNN⁩ piece misses role of post-🔥 #reforestation in restoring healthy watersheds. That’s a big part of the solution. ⁦@AmericanForests⁩ 
1/2 https://t.co/F0lV3lrGEd",0,5,JadDaley,en,climat fuel #wildfir huge threat public water suppli what piec miss role post #reforest restor healthi watersh that part solut http lrged,137,"Sentiment(polarity=0.20000000000000004, subjectivity=0.48333333333333334)","{'neg': 0.19, 'neu': 0.722, 'pos': 0.087, 'compound': -0.4019}",-0.4019,Negative
17,2022-05-31 09:51:38+00:00,Prince Charles ⁦@ClarenceHouse⁩ participates in Sibiu in launch of the largest transnational reforestation project in Europe  https://t.co/46oKYxQWSR,1,0,Marcpalahi,en,princ charl particip sibiu launch largest transnat reforest project europ http okyxqwsr,87,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
18,2022-05-31 09:30:11+00:00,"In order to support the @GouvTg🇹🇬 in its policy of #reforestation🌳, The Mayor #Kloto1 invites his community to participate in the activity of National #TreeDay 

📍#EBOLA Center, near Yokélé High School
🗓️ Wednesday, June 01, 2022 at 06 AM

#PourLeTogo #Arbre #Team228 #Kpalimé https://t.co/yMGdQJjsFI",5,4,VilleKpalime,en,order support polici #reforest mayor #kloto invit commun particip activ nation #treeday #ebola center near high school wednesday june #pourletogo #arbr #team #kpalim http ymgdqjjsfi,181,"Sentiment(polarity=0.05333333333333334, subjectivity=0.3466666666666667)","{'neg': 0.0, 'neu': 0.899, 'pos': 0.101, 'compound': 0.4019}",0.4019,Positive
19,2022-05-31 09:26:48+00:00,"Orange Learn Partners With Global Reforestation Initiative, “One Tree Planted”
https://t.co/szA1bPYPsU
@OrangeLearn @OrangeAmps @onetreeplanted #OrangeAmplification #OneTreePlanted https://t.co/iAdQ4ckRrP",0,1,dshowmusic,en,orang learn partner with global reforest initi tree plant http bpypsu #orangeamplif #onetreepl http iadq ckrrp,110,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
20,2022-05-31 09:14:05+00:00,"This is the project we must to support as their goal is to help the reforestation as one of their mission 😍

Every #nft that are being sold are aim to donate on @onetreeplanted as equivalent on plotting sapling in real land @crypticmaestro @cryptocharizard 🤩

#NFTProjects #P2E https://t.co/GK8A7kD5wW",0,0,Mika_Quil,en,thi project must support their goal help reforest their mission everi #nft that be sold donat equival plot sapl real land #nftproject http,138,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)","{'neg': 0.0, 'neu': 0.795, 'pos': 0.205, 'compound': 0.6597}",0.6597,Positive
21,2022-05-31 09:11:43+00:00,"Happy Birthday #Castle_J , our beloved leader of #MCND

In order to celebrate Castle J Birthday, Indonesian GEM proudly present this certificate as a form of our participant for supporting reforestation campaign in Indonesia❤

#5월의_마지막_캐슬제이의_시작
#SuperStarCastleJDay https://t.co/pV21r1ol8w",8,14,MCND_ID,en,happi birthday #castl belov leader #mcnd order celebr castl birthday indonesian proudli present thi certif form particip support reforest campaign indonesia #superstarcastlejday http,182,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4019}",0.4019,Positive
22,2022-05-31 08:26:24+00:00,"Nous nous sommes acquittés de notre tâche le 1er juin.Cette journée, instituée le 1er juin 1977, voit les Togolais planter des arbres pour symboliser la reforestation, le combat pour la protection de l'environnement et le développement durable.
#TT228 #TgTwittos @DidierKissode https://t.co/6Szap8r9e2",2,5,Adjestourart,fr,nou nou somm acquitt notr juin cett journ institu juin voit togolai planter arbr pour symbolis reforest combat pour protect environn velopp durabl #tgtwitto http szap,166,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.083, 'neu': 0.828, 'pos': 0.09, 'compound': 0.0516}",0.0516,Positive
23,2022-05-31 08:17:58+00:00,"Dr. Clarke is representing the CDA at #GreeningArabia with a science-backed presentation on Indicators of Successful Afforestation and Reforestation Practices, highlighting native species 🌳
🗓️ TODAY, May 31, 12:30 P.M. UTC+3
📍 livestream
Don’t miss it!
#SaudiGreenInitiative🌱 https://t.co/hB4GRn8pNN",2,7,kaustcda,en,clark repres #greeningarabia with scienc back present indic success afforest reforest practic highlight nativ speci today livestream miss #saudigreenin http,156,"Sentiment(polarity=0.09999999999999999, subjectivity=0.0)","{'neg': 0.065, 'neu': 0.688, 'pos': 0.247, 'compound': 0.6705}",0.6705,Positive
24,2022-05-31 08:09:03+00:00,"The awareness spreads among leaders. We have to encourage and support all projects, initiatives and policies that move our economy and ecology in the right direction.
@cpsavesoil @SadhguruJV  #SaveSoil 
https://t.co/MTYG5mWjkp",4,7,Olimpia_Neagu,en,awar spread among leader have encourag support project initi polici that move economi ecolog right direct #savesoil http mtyg mwjkp,131,"Sentiment(polarity=0.19285714285714284, subjectivity=0.46785714285714286)","{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.4019}",0.4019,Positive
25,2022-05-31 07:43:24+00:00,"Halleluja my Pyukumuku, your reforestation feels like a buoyant moon, your cognition excites like a monkey.  I love you like heavy unwieldy oars",0,0,_marielle_2807,en,halleluja pyukumuku your reforest feel like buoyant moon your cognit excit like monkey love like heavi unwieldi oar,115,"Sentiment(polarity=0.225, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.489, 'pos': 0.511, 'compound': 0.9118}",0.9118,Positive
26,2022-05-31 07:17:30+00:00,"Join us for today’s green session with @alxheller from @Bitgreen_ and @damsky001 &amp; @yangWao from @KodaDot. 

Prepare your questions!:) We’ll be talking about carbon neutral blockchains and reforestation campaigns

 https://t.co/PDVs0EZHMw",7,13,DotsamaPrague,en,join today green session with from from prepar your question talk about carbon neutral blockchain reforest campaign http pdv ezhmw,130,"Sentiment(polarity=-0.2, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.296}",0.296,Positive
27,2022-05-31 06:45:25+00:00,@zizouIOTA Most of the money received goes into reforestation. @TreeIOTA https://t.co/zadgcAAF6V,0,2,TreeIOTA,en,most money receiv goe into reforest http zadgcaaf,49,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
28,2022-05-31 05:38:53+00:00,"@_austrian Interesting proposition!

Just to be sure: do I fly carbon neutral if I choose for SAF or reforestation, or both?

Asking for a friend. 

https://t.co/xk4gms7ner",0,1,EricStam,en,interest proposit just sure carbon neutral choos reforest both ask friend http,78,"Sentiment(polarity=0.5, subjectivity=0.8888888888888888)","{'neg': 0.0, 'neu': 0.514, 'pos': 0.486, 'compound': 0.8176}",0.8176,Positive
29,2022-05-31 04:39:46+00:00,Results of mining tax for reforestation in the DRC leave more questions than answers https://t.co/zRZoRkB0OR via @Mongabay,0,0,kimani_dr,en,result mine reforest leav more question than answer http zrzorkb,64,"Sentiment(polarity=0.5, subjectivity=0.5)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
30,2022-05-31 04:15:59+00:00,@ItsMutai Right..... but first have in place a Reforestation plan..........,0,0,pterkarnja,en,right first have place reforest plan,36,"Sentiment(polarity=0.26785714285714285, subjectivity=0.43452380952380953)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
31,2022-05-31 04:13:03+00:00,"One of the things we love most about working together with local, rural #communities, is connecting with the #children!

#volunteer #reforestation

Photos @00AaronFernando https://t.co/WLfdapKodV",3,7,SadhanaForest,en,thing love most about work togeth with local rural #commun connect with #children #volunt #reforest photo http wlfdapkodv,121,"Sentiment(polarity=0.25, subjectivity=0.275)","{'neg': 0.0, 'neu': 0.802, 'pos': 0.198, 'compound': 0.6369}",0.6369,Positive
32,2022-05-31 03:46:07+00:00,"Under Stalin, the Soviet Union was unparalleled in environnemental protection. The country embarked on projects of reforestation and laws were implemented at the expense of industrial production, as Stalin believed industrialization was not possible with an imbalanced nature.",1,9,Enver_Nuggets,en,under stalin soviet union unparallel environnement protect countri embark project reforest law were implement expens industri product stalin believ industri possibl with imbalanc natur,184,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",0.3818,Positive
33,2022-05-31 03:01:23+00:00,"Former Ifugao Rep. Teddy Baguilat hopes that the new DENR Secretary will spend on mangrove reforestation, coral reef rehabilitation, coastal cleanup, and forest protection rather than on Dolomite beach maintenance. https://t.co/UR5p42wwE6",1,2,Sagisagph,en,former ifugao teddi baguilat hope that denr secretari will spend mangrov reforest coral reef rehabilit coastal cleanup forest protect rather than dolomit beach mainten http,172,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.6705}",0.6705,Positive
34,2022-05-31 02:57:07+00:00,"@joedelhi @LandLifeCompany @CMODelhi @ArvindKejriwal @AapKaGopalRai @CMOPb @BhagwantMann @SantSeechewal @taxmanhelp247 @basantark @adityadickysin @AAPRajasthan @ParveenKaswan @I_Am_Gurgaon Simple solutions are always 'amazing', but oft get overlooked as not *lucrative* enough!

Here for growing #Trees, #Reforestation even in harshest of conditions! 

cc @PalmOilDetect @ErikSolheim @moefcc @ashokgehlot51 @bhupeshbaghel @PoojaB1972 @vineetjaintimes @AAPHaryana .. 👆",0,0,SunjayJK,en,simpl solut alway amaz overlook lucr enough here grow #tree #reforest even harshest condit,90,"Sentiment(polarity=0.0, subjectivity=0.5)","{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.5994}",-0.5994,Negative
35,2022-05-31 02:23:06+00:00,"We started our reforestation day with an educational talk to young people to make known the characteristics of dry forests. Where the students learned the correct way to plant a tree and the care it requires.
We also talk about the virtues of our sacred wood, the Palo Santo... https://t.co/9KEJvpRqmk",0,0,EcuadorianHands,en,start reforest with educ talk young peopl make known characterist forest where student learn correct plant tree care requir also talk about virtu sacr wood palo santo http kejvprqmk,181,"Sentiment(polarity=0.1, subjectivity=0.4)","{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.4939}",0.4939,Positive
36,2022-05-31 02:23:06+00:00,"II Reforestation Day in Schools of our #PaloSantoDoneRight campaign
On May 28, we planted 50 trees in the  Fe y Alegría nº3 Jose de Anchieta school. A project that aims to reforest 500 Palo Santo trees in alliance with 10 Educational Units in the urban areas of the city of Manta https://t.co/J2EJCwHoDc",0,0,EcuadorianHands,en,reforest school #palosantodoneright campaign plant tree alegr jose anchieta school project that aim reforest palo santo tree allianc with educ unit urban area citi manta http ejcwhodc,183,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
37,2022-05-31 02:15:03+00:00,DHL Express strengthens support for Haribon Foundation’s reforestation program with summer promo https://t.co/31SOm2wUKx,0,0,rodelflordeliz,en,express strengthen support haribon foundat reforest program with summer promo http wukx,87,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",0.6124,Positive
38,2022-05-31 02:03:44+00:00,Positive global warming  news. Reforestation projects are on an upward trend,0,1,Bostons80113133,en,posit global warm news reforest project upward trend,52,"Sentiment(polarity=0.3, subjectivity=0.3)","{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.2263}",0.2263,Positive
39,2022-05-31 00:40:00+00:00,"“If we recycled all trees that came down in US cities each year, 20 million tons of carbon could be kept out of the atmosphere, equivalent to taking 4 million gas-powered cars off the road,” says Christensen, CEO of Cambium Carbon. 

https://t.co/lTHZPWv8c5",8,18,NextCityOrg,en,recycl tree that came down citi each year million ton carbon could kept atmospher equival take million power car road say christensen cambium carbon http lthzpwv,161,"Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
40,2022-05-31 00:29:55+00:00,"@ikuberalles @nuclearny @zacharycmarlow @FoxGGreen @badspaceguy @petercoffin @calebmaupin @InfraHaz And on the other side:

  -- renewable energy, efficiency tech
  -- socialism,  democracy
  -- workers and common people
  -- regenerative ag, natural food and med
  -- safety, health and prosperity for all 
  -- ecorestoration, reforestation, etc.
  -- PEOPLE'S REPUBLIC OF CHINA",0,0,alan2102z,en,other side renew energi effici tech social democraci worker common peopl regen natur food safeti health prosper ecorestor reforest peopl republ china,149,"Sentiment(polarity=-0.13055555555555556, subjectivity=0.3138888888888889)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
41,2022-05-31 00:20:31+00:00,"@bigitalianmode @skyeakbar reforestation is extraordinarily different to terraforming an entire desert land mass, Young Moe",0,2,do_not_test_me,en,reforest extraordinarili differ terraform entir desert land mass young,70,"Sentiment(polarity=0.1, subjectivity=0.4)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
42,2022-05-31 00:06:00+00:00,"@skyeakbar @do_not_test_me It’s not ruining their lives, in Senegal and other places in the Sahel, it’s the people in the desert who are leading the reforestation efforts",0,0,bigitalianmode,en,ruin their live seneg other place sahel peopl desert lead reforest effort,73,"Sentiment(polarity=0.005681818181818177, subjectivity=0.4375)","{'neg': 0.257, 'neu': 0.743, 'pos': 0.0, 'compound': -0.5859}",-0.5859,Negative
43,2022-05-30 23:25:37+00:00,Green Ghana Day and the Platinum Jubilee of Queen Elizabeth II’s reign as Queen of the United Kingdom The Jubilee presents an opportunity to work with the Government of the United Kingdom to scale up our afforestation and reforestation programme and protect our planet.-3/5,2,4,SamuelAJinapor,en,green ghana platinum jubile queen elizabeth reign queen unit kingdom jubile present opportun work with govern unit kingdom scale afforest reforest programm protect planet,170,"Sentiment(polarity=-0.1, subjectivity=0.15)","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}",0.3818,Positive
44,2022-05-30 23:07:01+00:00,"The Ivory Coast, the world’s top producer of cocoa, has lost 80% of its forests. The country now battles #desertification.

President Alassane Ouattara launched a five-year #reforestation program, with the private sector as a possible source of funding. https://t.co/mRJoK96IQf",0,0,PI_Conservation,en,ivori coast world produc cocoa lost forest countri battl #desertif presid alassan ouattara launch five year #reforest program with privat sector possibl sourc fund http mrjok,174,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.3182}",-0.3182,Negative
45,2022-05-30 22:59:10+00:00,"@Papa32224 @kyria29 ""Over-reliance on tree-planting to offset carbon emissions could push food prices up 80% by 2050"" https://t.co/sr61JE70lQ",0,0,UseTechForGood,en,over relianc tree plant offset carbon emiss could push food price http,70,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
46,2022-05-30 22:44:33+00:00,@familyNFTs We are grateful for our growing community! 🥰 We can make a change together 🌱🌍💚 #reforestation,1,1,comBEANationNFT,en,grate grow commun make chang togeth #reforest,45,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,Neutral
47,2022-05-30 22:41:02+00:00,"@AssusReamus I went to college the first time to do reforestation..then after marriage and a kid, went back to school for radiology..so instead of outside, I was stuck in the dark, surrounded by cement. So, no.",0,1,chickngordon,en,went colleg first time reforest then after marriag went back school radiolog instead outsid stuck dark surround cement,118,"Sentiment(polarity=0.03333333333333333, subjectivity=0.24444444444444446)","{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.25}",-0.25,Negative
48,2022-05-30 22:19:43+00:00,"Hey, I just want to remind everyone that [CBH] is still actively looking for delegators. Each delegator of [CBH] also supports https://t.co/tSH3QcijHK which is a huge reforestation project. Furthermore, from epoch 340-350 ZiberBugs ISPO is active at CBH! https://t.co/L9brjOMQwP",2,6,CafeCardano,en,just want remind everyon that still activ look deleg each deleg also support http qcijhk which huge reforest project furthermor from epoch ziberbug ispo activ http brjomqwp,172,"Sentiment(polarity=0.4000000000000001, subjectivity=0.9)","{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.6486}",0.6486,Positive
49,2022-05-30 22:13:17+00:00,"@cryptojack @beverlytrees must be on your list now, @cryptojack! This is the #P2E #NFT that is worthy to invest your time playing and saving the Earth. They support reforestation initiatives and have low gas fees for every #NFT they mint.

Get your dancing trees #NFTs now! https://t.co/vzdMuZmlAE",0,2,GMdea_004,en,must your list thi #nft that worthi invest your time play save earth they support reforest initi have fee everi #nft they mint your danc tree #nft http vzdmuzmla,161,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.758, 'pos': 0.242, 'compound': 0.8074}",0.8074,Positive
50,2022-05-30 22:08:41+00:00,"@AmyDickman4 @ConservationNa1 @TheEconomist The beast doesn’t exist. Carbon neutrality is an economic fact for most businesses but not Biodiversity I’m afraid there isn’t a market or an investment logic. It’s a byproduct of FSC reforestation as eg but there’s commercial timber underpinning it

Sad cliche …if it pays..",0,0,HarryHumble2,en,beast doesn exist carbon neutral econom fact most busi biodivers afraid there market invest logic byproduct reforest there commerci timber underpin clich pay,157,"Sentiment(polarity=-0.04999999999999999, subjectivity=0.7)","{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.1027}",-0.1027,Negative
51,2022-05-30 21:42:16+00:00,"@deedeelea Happy to see reforestation at work! I never take for granted how fortunate I am to have old, dense forests to explore. (And there are too many here that would happily harvest them.)",0,1,AdamGloss,en,happi reforest work never take grant fortun have dens forest explor there mani here that would happili harvest them,115,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.2755}",-0.2755,Negative
52,2022-05-30 21:34:47+00:00,"@AmyDickman4 @ConservationNa1 @TheEconomist Relies on an ongoing demand for carbon credits which should be a medium term transitionary tool

Long term value has to come from a more sustainable use

We are in the reforestation &amp; cc space, I’m talking against my own book

Monoculture crops are appallingly destructive",0,1,HarryHumble2,en,reli ongo demand carbon credit which should medium term transitionari tool long term valu come from more sustain reforest space talk against book monocultur crop appallingli destruct,182,"Sentiment(polarity=0.225, subjectivity=0.45)","{'neg': 0.156, 'neu': 0.762, 'pos': 0.083, 'compound': -0.3182}",-0.3182,Negative
53,2022-05-30 21:22:41+00:00,"@DavidInky @russ_bledsoe @GreatDismal Yeah my understanding is there was some vulcanism that started the child period, then the reforestation effects kicked in. Feels like the detail is still sketchy and being filled in by ongoing research",0,0,JayStephens,en,yeah understand there some vulcan that start child period then reforest effect kick feel like detail still sketchi be fill ongo research,136,"Sentiment(polarity=0.0, subjectivity=0.0)","{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.5719}",0.5719,Positive
